stock_id,name,theme,confidence
6174,安碁,石英與頻率元件,high
6449,鈺邦,石英與頻率元件,high
6485,點序,石英與頻率元件,high
6538,倉和,石英與頻率元件,high
8182,加高,石英與頻率元件,high
8261,富鼎,石英與頻率元件,high
8289,泰藝,石英與頻率元件,high
1560,中砂,矽晶圓與半導體材料,high
1711,永光,矽晶圓與半導體材料,high
1762,中化生,矽晶圓與半導體材料,high
1785,光洋科,矽晶圓與半導體材料,high
1788,杏昌,矽晶圓與半導體材料,high
1808,潤隆,矽晶圓與半導體材料,high
2328,廣宇,矽晶圓與半導體材料,high
4726,永昕,矽晶圓與半導體材料,high
6182,合晶,矽晶圓與半導體材料,high
6547,高端疫苗,矽晶圓與半導體材料,high
2345,智邦,網通設備與交換器,high
2412,中華電,網通設備與交換器,high
3062,建漢,網通設備與交換器,high
3380,明泰,網通設備與交換器,high
3596,智易,網通設備與交換器,high
3704,合勤控,網通設備與交換器,high
4906,正文,網通設備與交換器,high
5388,中磊,網通設備與交換器,high
6136,富爾特,網通設備與交換器,high
6142,友勁,網通設備與交換器,high
6153,嘉聯益,網通設備與交換器,high
6285,啟碁,網通設備與交換器,high
6414,樺漢,網通設備與交換器,high
6442,光聖,網通設備與交換器,high
6456,GIS-KY,網通設備與交換器,high
8101,華冠,網通設備與交換器,high
2603,長榮,航運貨櫃與散裝,high
2605,新興,航運貨櫃與散裝,high
2606,裕民,航運貨櫃與散裝,high
2607,榮運,航運貨櫃與散裝,high
2608,嘉里大榮,航運貨櫃與散裝,high
2609,陽明,航運貨櫃與散裝,high
2610,華航,航運貨櫃與散裝,high
2611,志信,航運貨櫃與散裝,high
2612,中航,航運貨櫃與散裝,high
2613,中櫃,航運貨櫃與散裝,high
2614,東森,航運貨櫃與散裝,high
2615,萬海,航運貨櫃與散裝,high
2617,台航,航運貨櫃與散裝,high
2636,台驊控股,航運貨櫃與散裝,high
2637,慧洋-KY,航運貨櫃與散裝,high
2642,宅配通,航運貨櫃與散裝,high
5608,四維航,航運貨櫃與散裝,high
2327,國巨*,被動元件,high
2375,凱美,被動元件,high
2492,華新科,被動元件,high
3026,禾伸堂,被動元件,high
3624,光頡,被動元件,high
4935,茂林-KY,被動元件,high
6173,信昌電,被動元件,high
6215,和椿,被動元件,high
6284,佳邦,被動元件,high
6412,群電,被動元件,high
6727,亞泰金屬,被動元件,high
8042,金山電,被動元件,high
8105,凌巨,被動元件,high
1513,中興電,重電與電網設備,high
1618,合機,重電與電網設備,high
1710,東聯,重電與電網設備,high
1904,正隆,重電與電網設備,high
3483,力致,重電與電網設備,high
3576,聯合再生,重電與電網設備,high
3628,盈正,重電與電網設備,high
3686,達能,重電與電網設備,high
3691,碩禾,重電與電網設備,high
4930,燦星網,重電與電網設備,high
5283,禾聯碩,重電與電網設備,high
6120,達運,重電與電網設備,high
6244,茂迪,重電與電網設備,high
6443,元晶,重電與電網設備,high
6585,鼎基,重電與電網設備,high
9958,世紀鋼,重電與電網設備,high
2801,彰銀,金融保險,medium
2812,台中銀,金融保險,medium
2816,旺旺保,金融保險,medium
2820,華票,金融保險,medium
2832,台產,金融保險,medium
2834,臺企銀,金融保險,medium
2836,高雄銀,金融保險,medium
2838,聯邦銀,金融保險,medium
2845,遠東銀,金融保險,medium
2850,新產,金融保險,medium
2851,中再保,金融保險,medium
2852,第一保,金融保險,medium
2855,統一證,金融保險,medium
2880,華南金,金融保險,medium
2881,富邦金,金融保險,medium
2882,國泰金,金融保險,medium
2883,凱基金,金融保險,medium
2884,玉山金,金融保險,medium
2885,元大金,金融保險,medium
2886,兆豐金,金融保險,medium
2887,台新新光金,金融保險,medium
2889,國票金,金融保險,medium
2890,永豐金,金融保險,medium
2891,中信金,金融保險,medium
2892,第一金,金融保險,medium
5871,中租-KY,金融保險,medium
5880,合庫金,金融保險,medium
6005,群益證,金融保險,medium
2002,中鋼,鋼鐵金屬,medium
2006,東和鋼鐵,鋼鐵金屬,medium
2007,燁興,鋼鐵金屬,medium
2008,高興昌,鋼鐵金屬,medium
2010,春源,鋼鐵金屬,medium
2012,春雨,鋼鐵金屬,medium
2013,中鋼構,鋼鐵金屬,medium
2014,中鴻,鋼鐵金屬,medium
2015,豐興,鋼鐵金屬,medium
2017,官田鋼,鋼鐵金屬,medium
2020,美亞,鋼鐵金屬,medium
2022,聚亨,鋼鐵金屬,medium
2023,燁輝,鋼鐵金屬,medium
2024,志聯,鋼鐵金屬,medium
2025,千興,鋼鐵金屬,medium
2027,大成鋼,鋼鐵金屬,medium
2028,威致,鋼鐵金屬,medium
2029,盛餘,鋼鐵金屬,medium
2030,彰源,鋼鐵金屬,medium
2031,新光鋼,鋼鐵金屬,medium
2032,新鋼,鋼鐵金屬,medium
2033,佳大,鋼鐵金屬,medium
2034,允強,鋼鐵金屬,medium
2035,唐榮公司,鋼鐵金屬,medium
2038,海光,鋼鐵金屬,medium
2069,運錩,鋼鐵金屬,medium
5007,三星,鋼鐵金屬,medium
3045,台灣大,電信與網路服務,high
4904,遠傳,電信與網路服務,high
4977,眾達-KY,電信與網路服務,high
5287,數字,電信與網路服務,high
5345,馥鴻,電信與網路服務,high
5478,智冠,電信與網路服務,high
6112,邁達特,電信與網路服務,high
6180,橘子,電信與網路服務,high
8044,網家,電信與網路服務,high
8410,森田,電信與網路服務,high
1503,士電,電動車與車用電子,high
1519,華城,電動車與車用電子,high
1536,和大,電動車與車用電子,high
1609,大亞,電動車與車用電子,high
2201,裕隆,電動車與車用電子,high
2360,致茂,電動車與車用電子,high
2371,大同,電動車與車用電子,high
2497,怡利電,電動車與車用電子,high
3023,信邦,電動車與車用電子,high
3229,晟鈦,電動車與車用電子,high
3557,嘉威,電動車與車用電子,high
3665,貿聯-KY,電動車與車用電子,high
3708,上緯投控,電動車與車用電子,high
6409,旭隼,電動車與車用電子,high
6672,騰輝電子-KY,電動車與車用電子,high
2308,台達電,電源供應器與散熱,high
2421,建準,電源供應器與散熱,high
3017,奇鋐,電源供應器與散熱,high
3324,雙鴻,電源供應器與散熱,high
3338,泰碩,電源供應器與散熱,high
3441,聯一光電,電源供應器與散熱,high
3531,先益,電源供應器與散熱,high
3548,兆利,電源供應器與散熱,high
3653,健策,電源供應器與散熱,high
4938,和碩,電源供應器與散熱,high
6125,廣運,電源供應器與散熱,high
6207,雷科,電源供應器與散熱,high
6230,尼得科超眾,電源供應器與散熱,high
6275,元山,電源供應器與散熱,high
1201,味全,食品民生,medium
1203,味王,食品民生,medium
1210,大成,食品民生,medium
1213,大飲,食品民生,medium
1215,卜蜂,食品民生,medium
1216,統一,食品民生,medium
1217,愛之味,食品民生,medium
1218,泰山,食品民生,medium
1219,福壽,食品民生,medium
1220,台榮,食品民生,medium
1225,福懋油,食品民生,medium
1227,佳格,食品民生,medium
1229,聯華,食品民生,medium
1231,聯華食,食品民生,medium
1232,大統益,食品民生,medium
1233,天仁,食品民生,medium
1234,黑松,食品民生,medium
1235,興泰,食品民生,medium
1236,宏亞,食品民生,medium
1256,鮮活果汁-KY,食品民生,medium
1268,漢來美食,食品民生,medium
1521,大億,食品民生,medium
1522,堤維西,食品民生,medium
1524,耿鼎,食品民生,medium
1530,亞崴,食品民生,medium
1531,高林股,食品民生,medium
1532,勤美,食品民生,medium
1533,車王電,食品民生,medium
1535,中宇,食品民生,medium
1537,廣隆,食品民生,medium
1538,正峰,食品民生,medium
1539,巨庭,食品民生,medium
1540,喬福,食品民生,medium
1558,伸興,食品民生,medium
1565,精華,食品民生,medium
1568,倉佑,食品民生,medium
1582,信錦,食品民生,medium
1583,程泰,食品民生,medium
1587,吉茂,食品民生,medium
1589,永冠-KY,食品民生,medium
1590,亞德客-KY,食品民生,medium
1702,南僑,食品民生,medium
1708,東鹼,食品民生,medium
1742,台蠟,食品民生,medium
1905,華紙,食品民生,medium
1906,寶隆,食品民生,medium
1907,永豐餘,食品民生,medium
1909,榮成,食品民生,medium
2101,南港,食品民生,medium
2102,泰豐,食品民生,medium
2103,台橡,食品民生,medium
2104,國際中橡,食品民生,medium
2105,正新,食品民生,medium
2106,建大,食品民生,medium
2107,厚生,食品民生,medium
2108,南帝,食品民生,medium
2109,華豐,食品民生,medium
2114,鑫永銓,食品民生,medium
2115,六暉-KY,食品民生,medium
2204,中華,食品民生,medium
2206,三陽工業,食品民生,medium
2207,和泰車,食品民生,medium
2227,裕日車,食品民生,medium
2228,劍麟,食品民生,medium
2230,泰茂,食品民生,medium
2231,為升,食品民生,medium
2233,宇隆,食品民生,medium
2235,謚源,食品民生,medium
2236,百達-KY,食品民生,medium
2239,英利-KY,食品民生,medium
2241,艾姆勒,食品民生,medium
2243,宏旭-KY,食品民生,medium
2247,汎德永業,食品民生,medium
2250,IKKA-KY,食品民生,medium
2301,光寶科,食品民生,medium
2302,麗正,食品民生,medium
